id_venda,data,cliente,categoria,canal,uf,quantidade,preco_unit,desconto_pct,valor_total
1,2024-08-08,CLI-0069,Limpeza,,BA,1,,0.45,50.63
2,2024-11-12,CLI-0050,Limpeza,Loja,RJ,4,111.06,4.91,422.43
3,2024-09-08,CLI-0149,Padaria,Loja,,5,10.73,4.86,5104.00
4,2024-04-07,CLI-0044,Bebidas,,SP,2,87.89,2.87,170.74
5,2024-06-27,CLI-0140,  Hortifruti ,Loja,SP,1,8.10,,8.07
6,2024-03-30,  CLI-0127 ,Padaria,Loja,GO,4,3.98,3.84,15.31
7,2024-04-14,CLI-0232,Mercearia,Loja,,3,71.09,,209.45
8,2024-12-11,CLI-0091,Limpeza,App,,1,4.40,0.00,4.40
9,2024-08-11,CLI-0177,Frios,Loja,,6,82.02,7.03,457.52
10,2024-07-09,CLI-0109,Frios,Loja,MA,2,207.34,1.92,406.72
11,2024-05-03,CLI-0211,Padaria,,MG,1,35.85,0.70,35.60
12,2024-12-29,CLI-0175,Frios,Loja,SP,1,39.06,N/A,39.06
13,14/10/2024,CLI-0244,Frios,Loja,SP ,4,27.92,3.75,107.49
14,2024-09-16,CLI-0084,Padaria,,PR,1,7.73,0.00,7.73
15,18/08/2024,CLI-0216,Frios,Loja,sp,2,107.51,1.17,212.50
16,2024-01-04,CLI-0151,Hortifruti,Site,SP,6,47.67,8.14,262.74
17,2024-03-08,CLI-0085,Bebidas,Site,SP ,1,65.59,0.00,65.59
18,2024-03-21,CLI-0141,Higiene,Site,SP,1,145.03,0.00,145.03
19,2024-05-24,CLI-0224,Limpeza,,RJ,2,54.39,1.01,107.68
20,2024-06-30,CLI-0075,Padaria,,RJ,1,19.61,0.00,19.61
21,2024-09-01,CLI-0079,Mercearia,Loja,SP,1,82.56,0.00,82.56
22,2024-07-30,CLI-0203,Bebidas,Site,MA,3,,3.05,35.57
23,2024-02-26,CLI-0037,Frios,Site,MG,6,127.07,8.61,696.78
24,2024-10-22,CLI-0215,Bebidas,,NULL,10,31.34,15.96,263.38
25,2024-09-29,CLI-0191,Bebidas,Loja,,2,3.36,3.41,6.49
26,2024-10-25,CLI-0112,Padaria,App,-,3,56.42,,161.42
27,06/09/2024,CLI-0038,mercearia,null,GO,1,?,0.00,61.12
28,2024-01-08,CLI-0117,Bebidas,Site,GO,8,70.52,12.20,495.33
